,id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
18,18,GMC,Sierra 2500 SLE,2015,116210,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,White,Beige,None reported,Yes,31900
19,19,Kia,Telluride LX,2022,14269,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,234000
20,20,GMC,Terrain SLE,2020,61830,Gasoline,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,26485
21,21,Ford,Transit-350 XLT,2013,75500,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,33500
22,22,Lincoln,MKZ Base,2015,106000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,9500
23,23,Ford,Mustang EcoBoost Premium,2021,59500,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,36500
24,24,Dodge,Challenger GT,2016,53000,Gasoline,303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,31300
25,25,Chevrolet,Corvette Z06,2016,49000,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,White,Black,None reported,Yes,65000
26,26,Ford,Expedition Max XLT,2021,6449,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Mesa,None reported,Yes,89995
27,27,Audi,A7 Premium,2012,115402,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,At least 1 accident or damage reported,Yes,17000
28,28,Volkswagen,Jetta 1.4T SE,2015,96000,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,12000
29,29,Ford,F-350 King Ranch,2015,92421,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,51900
30,30,Ford,Transit Connect XLT,2015,111000,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,16999
31,31,BMW,M340 i xDrive,2021,9000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Beige,None reported,Yes,50000
32,32,GMC,Sierra 1500 SLT,2021,23600,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,71000
33,33,Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,14999
34,34,Land,Rover Range Rover Sport HSE Dynamic,2020,58100,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,36500
35,35,Cadillac,Escalade ESV Platinum,2021,124000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,103500
36,36,Ford,Thunderbird Premium,2006,94000,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,None reported,Yes,10995
37,37,Mazda,CX-30 Premium Package,2020,25779,Gasoline,2.5L I4 16V,6-Speed Automatic,Platinum Quartz Metallic,Black,At least 1 accident or damage reported,Yes,24995
38,38,Porsche,911 R,2016,12454,Gasoline,500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Green,Black,None reported,Yes,55000
39,39,RAM,1500 Rebel,2021,25500,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Black,None reported,Yes,53000
40,40,GMC,Yukon XL SLT,2017,93000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,35300
41,41,Land,Rover Range Rover P530 SE LWB 7 Seat,2023,15500,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,40000
42,42,Audi,A4 3.2 Premium Plus quattro,2011,90818,Gasoline,265.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,8700
43,43,Subaru,Crosstrek 2.0i Limited,2010,160000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,6250
44,44,Dodge,Challenger SXT,2014,65000,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,Gray,Gray,At least 1 accident or damage reported,Yes,29444
45,45,Maserati,Ghibli S Q4 GranSport,2020,80500,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,29900
46,46,Ford,F-150 XLT SuperCab,1999,48054,Gasoline,220.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,8950
47,47,Hyundai,Palisade SEL,2020,48613,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,61500
48,48,MINI,Cooper Base,2007,79000,Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,At least 1 accident or damage reported,Yes,8999
49,49,Ford,Taurus SHO,2014,138415,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,15500
50,50,BMW,528 i xDrive,2012,111000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,At least 1 accident or damage reported,Yes,17000
51,51,BMW,ALPINA B7 Base,2013,129999,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,89999
52,52,Land,Rover Range Rover Sport HSE,2013,85385,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,19977
53,53,Jeep,Wrangler Unlimited Sport,2017,86250,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,None reported,Yes,20900
54,54,Jeep,Wrangler Sport,2004,170000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,5500
55,55,Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,41599
56,56,Ford,F-250 XLT,2019,85000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,–,None reported,Yes,50000
57,57,Land,Rover Range Rover Velar P250 SE R-Dynamic,2020,28000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,41995
58,58,Mazda,Protege DX,1993,75980,–,–,A/T,Green,Black,None reported,Yes,90200
59,59,Lexus,IS 350 F Sport,2022,16500,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,34000
60,60,BMW,X6 xDrive35i,2018,40000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,28499
61,61,Audi,SQ5 3.0T Premium Plus,2018,72000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,41500
62,62,Mercedes-Benz,E-Class E 350 4MATIC,2013,88000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,13500
63,63,Ford,Focus SE,2012,108045,Gasoline,132.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,9500
64,64,Jeep,Gladiator Rubicon,2022,24500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,39500
65,65,Audi,A4 2.0T Premium Plus quattro,2011,98313,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,4999
66,66,BMW,M3 Base,2009,66500,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,19500
67,67,Ford,Fusion SE,2010,114323,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,6000
68,68,Hyundai,Sonata GLS,2011,135000,Gasoline,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,3999
69,69,Hyundai,Genesis Coupe 3.8 Base,2015,60000,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,17000
70,70,Jeep,Wrangler Rubicon,2012,110000,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,8700
71,71,Mercedes-Benz,E-Class E 350,2014,79950,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,21000
72,72,Lexus,RX 350 F Sport Performance,2020,13500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,229900
73,73,Ford,Mustang GT Premium,2016,95000,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,24999
74,74,Honda,S2000 Base,2003,81500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,15599
75,75,BMW,X6 M Base,2018,36700,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Blue,At least 1 accident or damage reported,Yes,48990
76,76,Jeep,Wrangler Sport,2002,123720,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Green,Beige,At least 1 accident or damage reported,Yes,11500
77,77,Ford,F-150 XLT,2022,18465,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,47500
78,78,Chevrolet,Corvette Stingray w/3LT,2023,7000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,129000
79,79,Tesla,Model Y Long Range,2023,5844,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,Gray,Black,None reported,Yes,52000
80,80,Jeep,Wrangler Unlimited Sport,2017,65212,Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Black,Black,None reported,Yes,37995
81,81,Hummer,H2 Base,2005,145000,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,5995
82,82,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2017,70500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,17000
83,83,Mazda,CX-7 Grand Touring,2007,113000,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,9999
84,84,Mercedes-Benz,GL-Class GL 450 4MATIC,2008,130000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,9900
85,85,Nissan,Murano SL,2007,190120,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Beige,At least 1 accident or damage reported,Yes,12900
86,86,Volkswagen,GTI Base,2005,86000,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,9995
87,87,Mercedes-Benz,SLC 300 Base,2018,32000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,34000
88,88,Land,Rover Range Rover Sport HSE,2013,159500,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,24900
89,89,Chevrolet,Camaro 1LT,2012,139000,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,19500
90,90,Land,Rover Range Rover Evoque Pure,2015,72500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,19550
91,91,Audi,A4 2.0T Premium,2012,125000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,4500
92,92,Nissan,Pathfinder S,2012,96000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,15000
93,93,Land,Rover Defender V8,2020,3000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,67500
94,94,Audi,S4 3.0 Prestige,2012,38718,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,31000
95,95,Lincoln,MKZ Base,2016,54000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,16000
96,96,Nissan,Maxima SL,2007,105000,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,13300
97,97,Toyota,Tundra SR5,2016,74000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,36000
98,98,Subaru,BRZ Limited,2016,36000,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,36000
99,99,Nissan,Wrangler SE,2003,106000,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,At least 1 accident or damage reported,Yes,6700
100,100,Audi,A3 2.0T Tech Premium,2018,52000,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,33000
101,101,Land,Rover Range Rover P525 HSE SWB,2020,5844,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,105900
102,102,BMW,X3 xDrive30i,2019,43000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,39990
103,103,BMW,X6 xDrive40i,2022,2437,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,92500
104,104,BMW,740 iL,2005,125500,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,3950
105,105,Porsche,Panamera 4 Platinum Edition,2022,2015,Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,47500
106,106,Chevrolet,Monte Carlo SS,2005,148800,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,9000
107,107,Lexus,Sequoia Platinum,2023,59715,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Lunar Rock,Black,At least 1 accident or damage reported,Yes,14699
108,108,Audi,A4 2.0T Premium Plus quattro,2016,72922,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Gray,None reported,Yes,29999
109,109,RAM,1500 Rebel,2021,57300,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,Yes,43500
110,110,Mercedes-Benz,C-Class C 300,2021,17900,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,34000
111,111,Volvo,S40 T5,2004,257700,Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,8000
112,112,Ford,Expedition Max Limited,2021,22270,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,White,Medium Stone,None reported,Yes,59950
113,113,Genesis,G80 3.8,2017,69548,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,26999
114,114,Ford,F-250 Lariat,2019,97700,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,None reported,Yes,45000
115,115,Ford,Expedition Timberline,2022,8911,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Red Quartz Tintcoat,Ash,None reported,Yes,59203
116,116,Jeep,Wrangler Unlimited Sport,2018,86250,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,None reported,Yes,34000
117,117,BMW,435 i,2015,89144,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,13999
118,118,Audi,A8 L 55,2019,16900,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,30000
119,119,BMW,X6 M50i,2021,2800,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,Black,None reported,Yes,72900
120,120,Porsche,Panamera Base,2018,66250,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,34900
121,121,Toyota,Land Cruiser Base,2010,110000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,11800
122,122,Dodge,Avenger SE,2014,124705,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,Gray,None reported,Yes,6499
123,123,Cadillac,RDX Base,2016,68425,Gasoline,279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,–,None reported,Yes,23500
124,124,Chevrolet,Cruze LT,2012,110000,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,9000
125,125,BMW,X5 xDrive40i,2021,60000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,37000
126,126,Jaguar,XE 25t,2019,59203,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,17599
127,127,Chevrolet,Suburban LT,2017,106385,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,19500
128,128,BMW,X3 xDrive30i,2020,24108,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,29500
129,129,Mercedes-Benz,SLK-Class SLK 350,2013,120800,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,11500
130,130,Honda,Civic LX,2015,124250,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,8550
131,131,Mitsubishi,Lancer GTS,2011,122000,Gasoline,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Beige,None reported,Yes,37900
132,132,Mercedes-Benz,S-Class S 550 4MATIC,2020,48900,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,88950
133,133,Lexus,GX 470 Base,2008,123500,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,12500
134,134,Chevrolet,Tahoe LTZ,2007,191900,E85 Flex Fuel,310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Green,Black,At least 1 accident or damage reported,Yes,12850
135,135,Jeep,Wrangler SE,2002,121800,Gasoline,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,4300
136,136,Mercedes-Benz,SL-Class SL 550,2015,63300,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Red,At least 1 accident or damage reported,Yes,22800
137,137,Genesis,GV70 2.5T,2016,84200,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,21800
138,138,BMW,X5 xDrive35i,2017,73500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,32250
139,139,Toyota,Highlander XLE,2022,51000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,51000
140,140,Toyota,Camry Hybrid XLE,2019,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Gray,None reported,Yes,42850
141,141,Toyota,Highlander XLE,2020,40000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,34999
142,142,Ford,Expedition Max Limited,2020,68750,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,47000
143,143,Porsche,Cayman S,2014,52000,Gasoline,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,37500
144,144,BMW,M6 Base,2016,37000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,315000
145,145,Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,60000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,63000
146,146,Ford,Transit-250 Base,2013,87500,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,26900
147,147,Kia,Sportage LX,2008,100730,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,8900
148,148,Acura,MDX Sport,2009,170900,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,6500
149,149,Hyundai,Genesis Coupe 3.8 Grand Touring,2013,165454,Gasoline,344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,16800
150,150,BMW,228 i,2015,126700,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,15000
151,151,Honda,Civic LX,2008,111300,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,15500
152,152,Toyota,4Runner Limited,2010,65000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,55000
153,153,Audi,S3 2.0T Tech Premium Plus,2018,47144,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,26000
154,154,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2016,99915,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18500
